Region,Location,URL,Comments,Easting,Northing,CarParkRefs
South West,Plymouth,http://www.plymouth.gov.uk/homepage/transportandstreets/publictransport/parkandride.htm,"3 sites: Coypool (Nr Marsh Mills roundabout off A38). George (Opposite the George Hotel on Tavistock Road. Access is only from the A386 Southbound from Tesco/Woolwell roundabout and then left into the site opposite the George Hotel, Southway. There is no access into the site from the city centre direction). Milehouse (follow the signs to Plymouth Argyle - no Saturday services from Milehouse when Argyle are playing at home). All sites Mon-Sat only.",247740,54690,"929744, 929745"
North West,Preston,http://www.lancashire.gov.uk/environment/bus/park_and_ride/parkandride.asp,"2 sites: Walton-le-Dale (rear of Capitol Centre), Preston Portway (close to Preston Docks)",354090,429439,"929729, 929730"
South East,Reading,http://www.reading-travelinfo.co.uk/UTMC29B.NET/GeneralPages/Category.aspx?cat=9,"2 site: Loddon Bridge (adjacent to Showcase Cinema Wokingham Road) (Mon-Sat), Madejski Stadium (south of city, close to M4 junction 11) (Mon-Sat)  ",471457,173460,"929709, 929710"
South West,Salisbury,http://www.salisbury.gov.uk/transport/park-and-ride/,"3 sites: Beehive (north of city), Britford (south of city), Wilton (west of city) ",414498,129966,"929757, 929758, 929759"
Yorkshire and Humber,Sheffield,http://www.sypte.co.uk/parkride,"4 sites: Halfway (tram stop), Meadowhall, Middlewood Road (tram stop), Nunnery Square (tram stop) ",435330,387238,"929764, 929765, 929766, 929767"
West Midlands,Shrewsbury,http://www.shropshire.gov.uk/traveltransport.nsf/open/DA9404E1142436FD802570900045A8BF,"3 sites: Oxon, Meole Brace, Harlescott",349249,312809,"929777, 929778, 929779"
West Midlands,Solihull,http://www.solihull.gov.uk/section.asp?catid=2001&docid=562&pageNumber=2,Monkspath Car Park (Mon-Sat only),414997,279607,929698
West Midlands,Solihull,http://www.solihull.gov.uk/section.asp?catid=2001#solcol,Solihull College (Sat-Sun and Public Holidays only),414997,279607,929701
North West,Southport,http://www.sefton.gov.uk/page&3348,"2 sites: The Esplanade, Fairways. 8 rail stations: Ainsdale, Aintree, Birkdale, Blundellsands and Crosby, Formby, Freshfield, Maghull, Seaforth and Litherland.",333596,417244,"929719, 929720, 929721, 929722, 929723, 929724, 929725, 929726, 929727, 929728"
Scotland,Stirling,http://www.stirling.gov.uk/index/services_homepage/roads/rt-park_and_ride.htm,1 site: Springkerse (Saturday only),279603,693497,929696
West Midlands,Stoke,http://www.stoke.gov.uk/ccm/navigation/transport-and-streets-/park-and-ride/,1 site: Hanley,387672,345197,929706
Wales,Swansea,http://www.swansea.gov.uk/parkandride,"2 sites: Landore (north of city), Fabian Way (east of city)",265417,192987,"929713, 929714"
South West,Swindon,http://www.swindon.gov.uk/roadstransport/roadsandtransport-carparking/roadsandtransport-parkandride.htm,"2 sites: North Swindon (Cricklade Road), South Swindon (Croft Road, towards Wroughton)",415103,184936,"929715, 929716"
South West,Truro,http://www.cornwall.gov.uk,1 site (July - September only),182540,44912,929689
Yorkshire and Humber,Whitby,http://www.scarborough.gov.uk/content/parking_services/car_parking_in_whitby.html,Runs for Special Events.,489731,510826,929699
South East,Winchester,http://www.winchester.gov.uk/ServiceL.asp?id=310,"2 sites: Barfield (Bar End Road near M3 junction 10), St Catherines (Garnier Road near M3 junction 10)",448220,129442,"929731, 929732"
South East,Windsor,http://www.windsor.gov.uk/transport/park_and_ride.htm,"2 sites: Home Park (on B470 Datchet Road), Legoland ",496500,176682,"929711, 929712"
West Midlands,Wolverhampton,http://www.centro.org.uk/wwwroot/AboutCentro/usrACMetroParkRide.asp?hdWhichMenu=FACILITIES,"4 sites: Black Lake, Priestfield (Wolverhampton), The Hawthorns, Wednesbury Parkway (all at tram stops)",391766,298636,"929760, 929761, 929762, 929763"
West Midlands,Worcester,http://worcestershire.whub.org.uk/home/wccindex/wcc-transport/wcc-transport-project-express/wcc-transport-project-express-routes.htm,1 site: Perdiswell (north of city on A38),384972,254955,929694
Yorkshire and Humber,York,http://www.york.gov.uk/parking/ride/,"5 sites: Askham Bar (west of city Centre adjacent to Tesco on Tadcaster Road), Grimston Bar (east of city Centre on A1079 Hull Road), McArthurGlen (south east of city adjacent to Designer Outlet on A19) (Mon-Sat only), Monks Cross (north east of city close to Monks Cross Shopping Centre, Huntington), Rawcliffe Bar (north west of city Centre on A19 Shipton Road) ",460352,451925,"929813, 929814, 929815, 929816, 929894"
